President / Vice President (Vote For 1),,,,,,,,,,,,,,,,,,,,,,
,,REP Donald J. Trump / JD Vance,,,,DEM Kamala Harris / Tim Walz,,,,LIB Chase Oliver / Mike Ter Maat,,,,GRE Jill Stein / Rudolph Ware,,,,Write-in,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Total
1004,3788,176,31,1311,1518,125,55,764,944,6,1,14,21,19,0,36,55,3,0,9,12,2550
1005,1747,78,22,896,996,26,16,283,325,4,0,5,9,0,0,7,7,0,0,5,5,1342
1006,18548,855,113,7330,8298,581,129,4219,4929,11,4,61,76,49,2,83,134,6,1,42,49,13486
1008,1083,157,3,394,554,59,6,107,172,0,0,0,0,0,2,1,3,0,0,0,0,729
1013,3234,215,31,708,954,187,32,635,854,4,0,8,12,3,1,8,12,1,0,4,5,1837
1014,7526,381,52,2853,3286,223,64,1511,1798,6,0,20,26,27,4,77,108,4,0,16,20,5238
1019,1072,54,5,556,615,21,7,142,170,1,0,0,1,0,0,4,4,0,0,1,1,791
1038,6378,310,35,1937,2282,208,69,1460,1737,11,0,35,46,16,1,59,76,1,0,9,10,4151
1041,2033,110,15,884,1009,72,19,351,442,0,0,1,1,0,0,1,1,2,0,2,4,1457
1054,477,34,2,123,159,27,1,54,82,1,0,2,3,2,0,0,2,2,0,0,2,248
1057,7148,353,49,2312,2714,330,46,1756,2132,4,0,27,31,19,0,50,69,2,1,14,17,4963
1063,3332,175,33,1443,1651,108,34,613,755,5,2,6,13,7,0,5,12,2,0,6,8,2439
1103,6728,381,40,2367,2788,255,44,1445,1744,3,0,18,21,23,0,31,54,2,0,18,20,4627
1104,6420,342,50,2315,2707,259,60,1397,1716,5,0,11,16,46,2,57,105,3,0,12,15,4559
1122,3830,143,39,1467,1649,91,59,908,1058,5,1,19,25,8,0,12,20,1,0,18,19,2771
1130,5548,238,41,1772,2051,175,56,1123,1354,10,0,22,32,18,0,32,50,1,1,11,13,3500
1132,5601,256,25,1577,1858,173,52,1331,1556,7,0,11,18,21,0,51,72,2,0,12,14,3518
1133,4011,143,29,1509,1681,109,42,880,1031,3,0,18,21,10,0,25,35,5,0,14,19,2787
1142,4533,173,15,1488,1676,152,31,1193,1376,2,0,19,21,11,1,44,56,5,0,19,24,3153
1143,7508,316,27,2487,2830,239,58,1827,2124,10,1,37,48,42,0,83,125,2,0,16,18,5145
1144,4635,185,74,1658,1917,112,113,1116,1341,3,0,14,17,10,1,36,47,8,0,18,26,3348
1145,3135,119,22,994,1135,117,23,638,778,0,2,9,11,14,1,23,38,2,0,3,5,1967
1146,7046,333,35,2169,2537,243,45,1797,2085,3,1,21,25,36,0,48,84,5,1,10,16,4747
1148,14919,833,76,5427,6336,486,113,3346,3945,14,1,36,51,28,0,115,143,6,3,28,37,10512
1149,7097,286,87,4079,4452,95,57,1100,1252,7,0,26,33,4,1,19,24,1,0,15,16,5777
1156,2691,111,56,1174,1341,61,26,472,559,3,2,8,13,5,0,12,17,1,0,2,3,1933
1159,3387,192,6,1078,1276,106,12,795,913,3,1,13,17,24,0,39,63,1,0,7,8,2277
1160,2686,127,14,672,813,127,22,628,777,3,0,8,11,8,0,41,49,1,0,2,3,1653
1165,3676,198,24,1610,1832,128,33,677,838,4,0,17,21,21,0,17,38,4,0,5,9,2738
2003,3735,176,5,370,551,280,34,1013,1327,1,0,6,7,0,0,4,4,1,0,4,5,1894
2007,12544,728,40,3141,3909,646,64,3273,3983,12,0,37,49,62,1,98,161,8,1,23,32,8134
2009,3460,198,47,1359,1604,125,58,728,911,3,3,13,19,20,0,30,50,0,0,8,8,2592
2010,4300,252,24,2077,2353,87,23,420,530,5,0,8,13,1,0,1,2,2,0,7,9,2907
2017,2665,50,1,100,151,194,76,1013,1283,5,0,2,7,3,0,2,5,0,0,3,3,1449
2018,2696,191,22,1183,1396,79,14,321,414,2,0,3,5,0,0,6,6,0,0,0,0,1821
2021,776,141,9,378,528,15,4,52,71,1,0,2,3,2,0,0,2,0,0,2,2,606
2023,2813,73,0,157,230,262,33,634,929,1,0,4,5,2,0,3,5,0,0,0,0,1169
2028,2393,62,18,619,699,125,63,760,948,5,1,10,16,2,0,4,6,2,0,6,8,1677
2030,2735,103,22,859,984,74,59,846,979,0,0,4,4,3,0,5,8,1,0,4,5,1980
2031,2925,81,3,145,229,278,67,951,1296,3,1,2,6,1,0,3,4,0,0,2,2,1537
2033,1163,35,3,175,213,76,19,431,526,1,0,3,4,1,0,1,2,0,0,3,3,748
2034,5115,117,1,310,428,398,53,2377,2828,6,0,7,13,1,0,8,9,3,0,5,8,3286
2036,1161,13,1,42,56,101,31,451,583,0,0,2,2,1,0,0,1,0,0,1,1,643
2050,3000,41,1,120,162,226,65,1309,1600,1,0,7,8,0,0,6,6,4,0,0,4,1780
2051,2497,43,0,103,146,205,59,1101,1365,1,0,7,8,3,0,3,6,2,0,4,6,1531
2052,2778,50,0,86,136,232,41,986,1259,0,0,2,2,0,0,4,4,1,0,3,4,1405
2055,1145,24,0,48,72,86,23,428,537,1,0,0,1,0,0,1,1,0,0,2,2,613
2056,971,56,3,66,125,83,17,134,234,0,0,0,0,1,0,2,3,0,0,0,0,362
2058,5337,190,9,624,823,451,32,2275,2758,3,0,8,11,8,0,7,15,2,0,6,8,3615
2059,2302,43,1,138,182,145,70,939,1154,1,0,5,6,3,0,2,5,0,0,3,3,1350
2061,5476,225,14,1533,1772,210,62,1761,2033,1,0,22,23,24,1,37,62,2,1,16,19,3909
2068,497,31,5,272,308,5,2,20,27,1,0,0,1,0,0,1,1,0,0,0,0,337
2070,2136,71,5,393,469,113,19,582,714,1,0,1,2,8,0,8,16,1,0,3,4,1205
2075,2044,32,1,128,161,115,47,823,985,1,0,2,3,2,0,4,6,3,0,2,5,1160
2077,2233,61,7,235,303,152,51,921,1124,2,0,3,5,3,0,7,10,1,0,1,2,1444
2081,1486,67,8,215,290,104,17,458,579,1,0,3,4,1,0,4,5,0,0,3,3,881
2085,3594,165,18,966,1149,139,37,865,1041,3,0,7,10,3,0,19,22,4,0,8,12,2234
2087,2063,84,9,805,898,60,15,514,589,5,0,16,21,5,0,11,16,3,0,13,16,1540
2088,1551,44,8,222,274,79,15,535,629,0,0,5,5,2,0,2,4,1,0,1,2,914
2089,1393,20,1,56,77,81,19,678,778,0,0,1,1,1,0,2,3,0,0,0,0,859
2090,729,23,5,207,235,33,13,243,289,0,0,2,2,0,0,0,0,0,0,1,1,527
2091,725,39,5,122,166,43,19,218,280,3,0,3,6,0,0,1,1,0,0,3,3,456
2094,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2097,5399,220,22,1627,1869,205,51,1702,1958,4,0,23,27,2,0,15,17,2,0,10,12,3883
2108,7837,310,19,1233,1562,455,117,3034,3606,5,0,19,24,19,0,29,48,4,2,5,11,5251
2109,1451,74,6,377,457,70,26,443,539,1,0,1,2,2,0,3,5,0,0,2,2,1005
2114,4444,99,4,260,363,347,65,1863,2275,5,0,6,11,5,0,6,11,2,0,2,4,2664
2115,2228,77,3,281,361,159,37,727,923,0,0,8,8,4,1,7,12,2,0,3,5,1309
2116,2164,47,1,80,128,187,46,883,1116,1,0,1,2,0,0,3,3,3,0,0,3,1252
2118,10562,433,44,3098,3575,447,111,3568,4126,8,1,22,31,26,0,63,89,7,0,22,29,7850
2120,3137,161,30,1244,1435,89,38,745,872,2,0,23,25,7,0,15,22,1,1,9,11,2365
2123,2311,49,1,67,117,178,23,774,975,1,0,0,1,0,0,1,1,1,0,0,1,1095
