"District Judge, 400th Judicial District (Vote For 1)",,,,,,,,,,
,,REP Edward M. Krenek,,,,DEM Tameika Carter,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Total
1004,3788,179,37,1383,1599,114,40,659,813,2412
1005,1747,84,21,909,1014,23,14,248,285,1299
1006,18548,815,118,7380,8313,550,102,3736,4388,12701
1008,1083,164,5,396,565,43,5,87,135,700
1013,3234,185,32,695,912,164,29,569,762,1674
1014,7526,362,49,2898,3309,207,58,1351,1616,4925
1019,1072,50,5,548,603,18,6,122,146,749
1038,6378,298,36,2016,2350,184,54,1286,1524,3874
1041,2033,98,17,903,1018,65,17,291,373,1391
1054,477,31,2,124,157,23,1,50,74,231
1057,7148,331,50,2267,2648,304,34,1652,1990,4638
1063,3332,172,35,1456,1663,94,27,523,644,2307
1103,6728,338,40,2377,2755,249,41,1324,1614,4369
1104,6420,337,53,2326,2716,243,48,1266,1557,4273
1122,3830,155,41,1593,1789,65,48,735,848,2637
1130,5548,241,47,1771,2059,147,41,1017,1205,3264
1132,5601,257,33,1657,1947,165,35,1171,1371,3318
1133,4011,142,33,1584,1759,102,27,758,887,2646
1142,4533,173,15,1542,1730,127,30,1072,1229,2959
1143,7508,314,30,2579,2923,224,50,1664,1938,4861
1144,4635,195,83,1717,1995,91,90,951,1132,3127
1145,3135,124,24,995,1143,105,22,590,717,1860
1146,7046,328,35,2276,2639,210,32,1525,1767,4406
1148,14919,773,78,5493,6344,449,97,2973,3519,9863
1149,7097,287,91,4106,4484,76,45,952,1073,5557
1156,2691,114,56,1185,1355,58,22,406,486,1841
1159,3387,173,7,1070,1250,107,10,758,875,2125
1160,2686,118,16,697,831,126,18,570,714,1545
1165,3676,195,26,1647,1868,119,27,589,735,2603
2003,3735,128,5,325,458,264,32,965,1261,1719
2007,12544,628,38,3031,3697,636,57,3114,3807,7504
2009,3460,195,51,1378,1624,97,48,629,774,2398
2010,4300,237,29,2042,2308,84,15,364,463,2771
2017,2665,35,2,91,128,188,75,981,1244,1372
2018,2696,169,22,1169,1360,68,9,270,347,1707
2021,776,141,9,380,530,10,3,43,56,586
2023,2813,60,0,144,204,213,33,607,853,1057
2028,2393,62,23,642,727,110,55,678,843,1570
2030,2735,93,28,882,1003,66,46,747,859,1862
2031,2925,58,2,121,181,261,66,915,1242,1423
2033,1163,31,3,171,205,70,19,408,497,702
2034,5115,82,1,285,368,398,50,2331,2779,3147
2036,1161,6,0,38,44,96,30,439,565,609
2050,3000,25,1,102,128,216,62,1275,1553,1681
2051,2497,30,0,82,112,199,55,1076,1330,1442
2052,2778,39,1,74,114,213,39,958,1210,1324
2055,1145,17,0,36,53,82,23,421,526,579
2056,971,34,3,66,103,74,16,124,214,317
2058,5337,138,8,547,693,443,31,2164,2638,3331
2059,2302,28,1,102,131,145,64,937,1146,1277
2061,5476,206,17,1569,1792,204,54,1620,1878,3670
2068,497,30,6,260,296,5,1,19,25,321
2070,2136,58,4,361,423,108,18,537,663,1086
2075,2044,26,2,111,139,118,44,795,957,1096
2077,2233,46,8,212,266,141,46,895,1082,1348
2081,1486,53,6,194,253,101,14,441,556,809
2085,3594,162,21,990,1173,129,30,765,924,2097
2087,2063,84,8,844,936,53,15,441,509,1445
2088,1551,35,6,196,237,75,15,507,597,834
2089,1393,17,1,47,65,78,17,670,765,830
2090,729,17,6,216,239,32,12,211,255,494
2091,725,36,3,123,162,38,16,205,259,421
2094,2,0,0,1,1,0,0,0,0,1
2097,5399,213,20,1652,1885,180,49,1547,1776,3661
2108,7837,236,18,1167,1421,448,108,2911,3467,4888
2109,1451,55,8,359,422,64,23,423,510,932
2114,4444,68,3,221,292,335,65,1812,2212,2504
2115,2228,62,8,260,330,160,30,704,894,1224
2116,2164,35,1,74,110,176,42,855,1073,1183
2118,10562,403,38,3143,3584,413,101,3272,3786,7370
2120,3137,160,32,1322,1514,79,30,626,735,2249
2123,2311,35,1,50,86,166,24,754,944,1030
2128,3559,147,45,1567,1759,68,42,635,745,2504
2134,4601,121,18,683,822,256,78,1688,2022,2844
2136,1326,62,4,224,290,79,20,491,590,880
2151,3279,94,12,672,778,162,39,1143,1344,2122
2152,1737,75,14,682,771,48,22,356,426,1197
2153,2293,35,0,84,119,171,32,975,1178,1297
2161,756,27,3,403,433,19,10,70,99,532
2171,2844,91,17,840,948,108,28,754,890,1838
3011,1586,73,15,537,625,44,24,356,424,1049
3016,4030,151,14,1002,1167,138,28,862,1028,2195
3020,3054,166,30,1128,1324,94,30,483,607,1931
3022,3360,121,22,1040,1183,115,33,792,940,2123
3027,1,0,0,0,0,0,0,0,0,0
3029,1872,67,21,809,897,56,31,355,442,1339
3035,1996,78,15,579,672,62,19,451,532,1204
3042,1092,60,41,351,452,26,32,170,228,680
3043,876,26,6,74,106,41,20,198,259,365
3044,4451,186,17,1337,1540,150,26,1084,1260,2800
3045,1985,75,3,444,522,100,16,463,579,1101
