United States Senator (Vote For 1),,,,,,,,,,,,,,,,,,
,,REP Ted Cruz,,,,DEM Colin Allred,,,,LIB Ted Brown,,,,Write-in,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Total
1004,3788,151,32,1262,1445,141,55,818,1014,23,0,42,65,1,0,0,1,2525
1005,1747,74,22,887,983,29,15,295,339,4,0,14,18,0,1,0,1,1341
1006,18548,743,117,6989,7849,648,131,4385,5164,53,2,230,285,2,0,2,4,13302
1008,1083,143,3,377,523,66,7,109,182,3,1,7,11,0,0,0,0,716
1013,3234,162,33,651,846,213,31,645,889,15,0,30,45,1,0,0,1,1781
1014,7526,324,53,2736,3113,260,66,1593,1919,32,1,97,130,6,0,5,11,5173
1019,1072,46,5,534,585,24,7,156,187,3,0,7,10,0,0,0,0,782
1038,6378,270,36,1828,2134,239,68,1534,1841,21,0,91,112,1,0,4,5,4092
1041,2033,86,15,850,951,77,19,361,457,10,0,20,30,1,0,1,2,1440
1054,477,25,2,121,148,30,1,59,90,6,0,0,6,0,0,0,0,244
1057,7148,292,47,2124,2463,348,44,1847,2239,36,3,108,147,3,0,5,8,4857
1063,3332,161,33,1407,1601,111,34,622,767,20,0,28,48,0,0,1,1,2417
1103,6728,309,42,2262,2613,297,44,1483,1824,32,0,96,128,1,0,6,7,4572
1104,6420,285,47,2194,2526,303,63,1482,1848,29,3,77,109,0,0,1,1,4484
1122,3830,130,39,1461,1630,96,62,922,1080,14,0,31,45,2,0,1,3,2758
1130,5548,201,42,1691,1934,204,55,1165,1424,23,0,55,78,0,0,3,3,3439
1132,5601,220,26,1496,1742,200,49,1371,1620,24,3,78,105,1,0,0,1,3468
1133,4011,126,29,1473,1628,126,40,907,1073,13,1,53,67,1,0,2,3,2771
1142,4533,152,14,1396,1562,165,33,1265,1463,15,0,60,75,0,0,4,4,3104
1143,7508,283,24,2356,2663,275,58,1942,2275,26,2,93,121,0,0,7,7,5066
1144,4635,166,70,1606,1842,132,117,1142,1391,13,0,45,58,2,0,2,4,3295
1145,3135,104,23,930,1057,130,25,678,833,9,1,37,47,0,0,2,2,1939
1146,7046,297,36,2049,2382,257,46,1839,2142,38,0,101,139,0,0,5,5,4668
1148,14919,716,78,5144,5938,555,112,3493,4160,57,2,204,263,0,0,11,11,10372
1149,7097,262,85,4000,4347,110,60,1137,1307,16,1,73,90,0,0,2,2,5746
1156,2691,101,57,1138,1296,71,25,481,577,7,0,30,37,0,0,2,2,1912
1159,3387,143,5,979,1127,142,14,855,1011,21,0,63,84,2,0,3,5,2227
1160,2686,103,14,634,751,146,22,671,839,8,0,29,37,1,0,0,1,1628
1165,3676,171,26,1557,1754,152,31,713,896,13,0,38,51,3,0,0,3,2704
2003,3735,119,6,307,432,293,33,1024,1350,28,0,32,60,0,0,3,3,1845
2007,12544,579,39,2863,3481,728,62,3418,4208,65,1,165,231,4,1,11,16,7936
2009,3460,173,50,1328,1551,152,55,745,952,10,3,43,56,1,0,0,1,2560
2010,4300,212,25,1976,2213,115,21,450,586,14,0,40,54,0,0,1,1,2854
2017,2665,37,1,83,121,196,77,1000,1273,8,0,15,23,2,0,2,4,1421
2018,2696,164,22,1143,1329,88,14,333,435,12,0,25,37,0,0,0,0,1801
2021,776,137,9,368,514,17,4,57,78,1,0,5,6,0,0,0,0,598
2023,2813,51,0,134,185,249,33,625,907,18,0,18,36,1,0,0,1,1129
2028,2393,51,20,600,671,131,62,760,953,10,0,28,38,1,0,1,2,1664
2030,2735,86,24,828,938,84,57,852,993,2,0,26,28,1,0,0,1,1960
2031,2925,45,3,118,166,275,61,951,1287,23,6,19,48,0,0,1,1,1502
2033,1163,27,3,161,191,81,18,438,537,0,0,5,5,0,0,0,0,733
2034,5115,102,1,251,354,395,52,2383,2830,15,0,45,60,0,0,1,1,3245
2036,1161,7,0,35,42,96,28,450,574,4,0,10,14,0,1,0,1,631
2050,3000,28,1,92,121,227,65,1299,1591,4,0,24,28,0,0,1,1,1741
2051,2497,25,0,73,98,209,57,1109,1375,3,0,12,15,1,0,2,3,1491
2052,2778,35,1,69,105,234,40,968,1242,7,0,25,32,0,0,4,4,1383
2055,1145,17,0,35,52,89,23,426,538,3,0,9,12,1,0,0,1,603
2056,971,40,3,61,104,85,17,134,236,4,0,1,5,0,0,0,0,345
2058,5337,138,9,540,687,462,31,2292,2785,27,1,40,68,2,0,1,3,3543
2059,2302,30,1,101,132,143,68,956,1167,8,1,13,22,0,0,0,0,1321
2061,5476,180,14,1471,1665,243,60,1804,2107,24,3,60,87,0,0,0,0,3859
2068,497,25,5,262,292,9,2,24,35,2,0,5,7,0,0,0,0,334
2070,2136,51,5,359,415,132,19,595,746,3,0,18,21,0,0,0,0,1182
2075,2044,27,1,106,134,118,47,815,980,3,0,15,18,0,0,0,0,1132
2077,2233,56,7,199,262,150,51,927,1128,6,0,18,24,1,0,1,2,1416
2081,1486,42,8,193,243,114,16,470,600,7,0,4,11,0,0,2,2,856
2085,3594,143,18,936,1097,140,37,882,1059,20,0,25,45,0,0,2,2,2203
2087,2063,70,8,790,868,77,16,532,625,5,0,30,35,0,0,2,2,1530
2088,1551,36,6,203,245,83,16,539,638,3,1,11,15,0,0,1,1,899
2089,1393,14,1,50,65,81,19,669,769,5,0,7,12,0,0,0,0,846
2090,729,14,6,207,227,39,12,238,289,3,0,4,7,0,0,0,0,523
2091,725,33,4,115,152,45,19,221,285,4,1,9,14,1,0,0,1,452
2094,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2097,5399,192,21,1545,1758,217,52,1753,2022,16,0,51,67,0,0,2,2,3849
2108,7837,239,19,1123,1381,487,118,3053,3658,33,1,71,105,1,0,2,3,5147
2109,1451,64,8,350,422,73,24,449,546,5,0,14,19,0,0,0,0,987
2114,4444,70,2,225,297,351,67,1856,2274,18,0,30,48,1,0,0,1,2620
2115,2228,62,4,257,323,163,34,737,934,8,1,15,24,0,0,2,2,1283
