"District Judge, 387th Judicial District (Vote For 1)",,,,,,
,,DEM Oscar Telfair III,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Total
1004,3788,155,48,846,1049,1049
1005,1747,35,21,348,404,404
1006,18548,737,121,4897,5755,5755
1008,1083,74,7,146,227,227
1013,3234,209,38,706,953,953
1014,7526,309,62,1791,2162,2162
1019,1072,21,7,174,202,202
1038,6378,246,55,1642,1943,1943
1041,2033,84,21,399,504,504
1054,477,32,2,65,99,99
1057,7148,392,44,1966,2402,2402
1063,3332,119,31,688,838,838
1103,6728,322,49,1633,2004,2004
1104,6420,346,60,1586,1992,1992
1122,3830,99,58,996,1153,1153
1130,5548,203,43,1275,1521,1521
1132,5601,222,45,1442,1709,1709
1133,4011,135,32,981,1148,1148
1142,4533,169,34,1312,1515,1515
1143,7508,316,61,2164,2541,2541
1144,4635,152,106,1213,1471,1471
1145,3135,128,29,763,920,920
1146,7046,291,39,1918,2248,2248
1148,14919,634,104,3852,4590,4590
1149,7097,139,51,1414,1604,1604
1156,2691,86,26,538,650,650
1159,3387,172,11,988,1171,1171
1160,2686,155,21,664,840,840
1165,3676,161,33,819,1013,1013
2003,3735,296,32,1012,1340,1340
2007,12544,787,61,3629,4477,4477
2009,3460,147,54,810,1011,1011
2010,4300,134,23,664,821,821
2017,2665,196,73,972,1241,1241
2018,2696,106,12,435,553,553
2021,776,28,1,96,125,125
2023,2813,226,33,625,884,884
2028,2393,120,63,774,957,957
2030,2735,85,51,875,1011,1011
2031,2925,279,64,933,1276,1276
2033,1163,73,19,421,513,513
2034,5115,412,50,2356,2818,2818
2036,1161,93,29,428,550,550
2050,3000,215,62,1269,1546,1546
2051,2497,191,54,1076,1321,1321
2052,2778,220,39,958,1217,1217
2055,1145,86,23,423,532,532
2056,971,88,17,136,241,241
2058,5337,468,32,2248,2748,2748
2059,2302,145,64,932,1141,1141
2061,5476,273,56,1892,2221,2221
2068,497,7,4,51,62,62
2070,2136,122,21,603,746,746
2075,2044,123,43,799,965,965
2077,2233,154,49,939,1142,1142
2081,1486,113,13,477,603,603
2085,3594,177,34,916,1127,1127
2087,2063,70,14,580,664,664
2088,1551,87,17,541,645,645
2089,1393,82,17,659,758,758
2090,729,36,13,253,302,302
2091,725,44,16,230,290,290
2094,2,0,0,1,1,1
2097,5399,228,50,1832,2110,2110
2108,7837,499,106,3104,3709,3709
2109,1451,76,23,468,567,567
2114,4444,346,66,1822,2234,2234
2115,2228,170,34,733,937,937
2116,2164,182,41,856,1079,1079
2118,10562,516,110,3815,4441,4441
2120,3137,116,38,824,978,978
2123,2311,167,24,748,939,939
2128,3559,99,48,864,1011,1011
2134,4601,287,85,1786,2158,2158
2136,1326,92,21,530,643,643
2151,3279,190,40,1232,1462,1462
2152,1737,65,25,438,528,528
2153,2293,180,30,971,1181,1181
2161,756,23,10,121,154,154
2171,2844,135,31,967,1133,1133
3011,1586,63,28,458,549,549
3016,4030,174,34,1006,1214,1214
3020,3054,129,40,645,814,814
3022,3360,137,41,935,1113,1113
3027,1,0,0,0,0,0
3029,1872,70,36,473,579,579
3035,1996,74,21,550,645,645
3042,1092,42,40,215,297,297
3043,876,47,23,210,280,280
3044,4451,192,30,1315,1537,1537
3045,1985,115,14,539,668,668
3046,3300,139,44,866,1049,1049
3047,860,28,18,247,293,293
3049,3752,194,57,1214,1465,1465
3053,13,1,0,2,3,3
3060,3805,255,31,1068,1354,1354
3062,3775,179,59,1269,1507,1507
3064,2945,119,40,815,974,974
3065,5977,278,83,1863,2224,2224
3071,673,45,2,202,249,249
