"District Judge, 434th Judicial District (Vote For 1)",,,,,,
,,DEM Christian Becerra,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Total
1004,3788,155,47,825,1027,1027
1005,1747,36,21,364,421,421
1006,18548,729,124,4861,5714,5714
1008,1083,86,7,146,239,239
1013,3234,233,42,736,1011,1011
1014,7526,298,63,1759,2120,2120
1019,1072,21,7,173,201,201
1038,6378,251,56,1621,1928,1928
1041,2033,85,21,418,524,524
1054,477,34,2,71,107,107
1057,7148,396,45,1995,2436,2436
1063,3332,123,32,691,846,846
1103,6728,326,49,1684,2059,2059
1104,6420,346,63,1625,2034,2034
1122,3830,96,58,973,1127,1127
1130,5548,197,42,1264,1503,1503
1132,5601,226,44,1452,1722,1722
1133,4011,132,33,972,1137,1137
1142,4533,167,34,1301,1502,1502
1143,7508,314,61,2143,2518,2518
1144,4635,151,107,1194,1452,1452
1145,3135,125,31,755,911,911
1146,7046,296,39,1905,2240,2240
1148,14919,628,104,3789,4521,4521
1149,7097,134,52,1376,1562,1562
1156,2691,89,25,531,645,645
1159,3387,166,11,967,1144,1144
1160,2686,155,21,672,848,848
1165,3676,165,33,846,1044,1044
2003,3735,300,33,1026,1359,1359
2007,12544,809,59,3679,4547,4547
2009,3460,144,54,794,992,992
2010,4300,147,27,707,881,881
2017,2665,195,75,965,1235,1235
2018,2696,106,12,458,576,576
2021,776,28,1,95,124,124
2023,2813,233,32,630,895,895
2028,2393,124,64,760,948,948
2030,2735,82,50,865,997,997
2031,2925,281,64,930,1275,1275
2033,1163,74,19,421,514,514
2034,5115,414,49,2372,2835,2835
2036,1161,94,29,437,560,560
2050,3000,214,61,1259,1534,1534
2051,2497,197,55,1077,1329,1329
2052,2778,228,39,952,1219,1219
2055,1145,86,23,413,522,522
2056,971,88,17,139,244,244
2058,5337,473,31,2238,2742,2742
2059,2302,147,63,925,1135,1135
2061,5476,279,57,1905,2241,2241
2068,497,7,4,55,66,66
2070,2136,123,20,602,745,745
2075,2044,118,44,801,963,963
2077,2233,151,51,939,1141,1141
2081,1486,117,13,481,611,611
2085,3594,185,36,935,1156,1156
2087,2063,72,14,581,667,667
2088,1551,90,18,539,647,647
2089,1393,84,17,659,760,760
2090,729,35,13,242,290,290
2091,725,46,16,226,288,288
2094,2,0,0,0,0,0
2097,5399,235,51,1811,2097,2097
2108,7837,512,107,3112,3731,3731
2109,1451,78,25,457,560,560
2114,4444,347,66,1816,2229,2229
2115,2228,170,35,735,940,940
2116,2164,185,41,848,1074,1074
2118,10562,514,110,3746,4370,4370
2120,3137,113,38,817,968,968
2123,2311,171,23,750,944,944
2128,3559,99,47,847,993,993
2134,4601,298,84,1799,2181,2181
2136,1326,94,21,529,644,644
2151,3279,191,39,1226,1456,1456
2152,1737,69,25,447,541,541
2153,2293,180,30,975,1185,1185
2161,756,25,10,126,161,161
2171,2844,142,32,961,1135,1135
3011,1586,64,28,450,542,542
3016,4030,174,35,996,1205,1205
3020,3054,129,39,651,819,819
3022,3360,133,38,930,1101,1101
3027,1,0,0,0,0,0
3029,1872,73,36,474,583,583
3035,1996,75,21,557,653,653
3042,1092,43,41,210,294,294
3043,876,48,23,202,273,273
3044,4451,205,30,1359,1594,1594
3045,1985,118,15,531,664,664
