"District Judge, 505th Judicial District (Vote For 1)",,,,,,
,,DEM Kali Morgan,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Total
1004,3788,154,47,820,1021,1021
1005,1747,35,17,343,395,395
1006,18548,727,123,4821,5671,5671
1008,1083,77,7,141,225,225
1013,3234,206,39,693,938,938
1014,7526,294,63,1748,2105,2105
1019,1072,22,7,172,201,201
1038,6378,256,56,1621,1933,1933
1041,2033,87,20,402,509,509
1054,477,32,2,63,97,97
1057,7148,387,43,1963,2393,2393
1063,3332,121,31,677,829,829
1103,6728,319,50,1623,1992,1992
1104,6420,348,62,1575,1985,1985
1122,3830,96,58,965,1119,1119
1130,5548,200,42,1268,1510,1510
1132,5601,222,44,1444,1710,1710
1133,4011,129,33,961,1123,1123
1142,4533,169,33,1309,1511,1511
1143,7508,312,61,2129,2502,2502
1144,4635,149,105,1204,1458,1458
1145,3135,127,31,755,913,913
1146,7046,293,38,1887,2218,2218
1148,14919,625,102,3807,4534,4534
1149,7097,136,51,1338,1525,1525
1156,2691,86,24,518,628,628
1159,3387,166,11,980,1157,1157
1160,2686,155,21,677,853,853
1165,3676,164,33,810,1007,1007
2003,3735,288,32,1013,1333,1333
2007,12544,788,60,3605,4453,4453
2009,3460,141,54,771,966,966
2010,4300,135,24,637,796,796
2017,2665,194,74,973,1241,1241
2018,2696,99,12,413,524,524
2021,776,27,1,91,119,119
2023,2813,226,33,622,881,881
2028,2393,124,63,758,945,945
2030,2735,79,49,854,982,982
2031,2925,274,64,929,1267,1267
2033,1163,73,19,424,516,516
2034,5115,415,50,2359,2824,2824
2036,1161,95,29,433,557,557
2050,3000,222,62,1276,1560,1560
2051,2497,198,56,1071,1325,1325
2052,2778,226,39,953,1218,1218
2055,1145,87,22,415,524,524
2056,971,86,17,138,241,241
2058,5337,474,32,2254,2760,2760
2059,2302,152,63,933,1148,1148
2061,5476,278,57,1890,2225,2225
2068,497,8,4,49,61,61
2070,2136,124,19,595,738,738
2075,2044,123,44,797,964,964
2077,2233,156,48,942,1146,1146
2081,1486,118,13,482,613,613
2085,3594,175,34,914,1123,1123
2087,2063,68,14,569,651,651
2088,1551,86,18,547,651,651
2089,1393,83,17,665,765,765
2090,729,38,13,243,294,294
2091,725,44,16,222,282,282
2094,2,0,0,0,0,0
2097,5399,229,50,1804,2083,2083
2108,7837,505,107,3097,3709,3709
2109,1451,76,24,463,563,563
2114,4444,351,66,1807,2224,2224
2115,2228,166,34,726,926,926
2116,2164,188,41,850,1079,1079
2118,10562,517,111,3781,4409,4409
2120,3137,114,37,808,959,959
2123,2311,169,24,754,947,947
2128,3559,103,47,843,993,993
2134,4601,293,84,1778,2155,2155
2136,1326,94,20,519,633,633
2151,3279,193,40,1220,1453,1453
2152,1737,64,25,432,521,521
2153,2293,180,29,979,1188,1188
2161,756,24,10,117,151,151
2171,2844,138,32,956,1126,1126
3011,1586,61,28,439,528,528
3016,4030,175,35,994,1204,1204
3020,3054,128,40,632,800,800
3022,3360,139,38,927,1104,1104
3027,1,0,0,0,0,0
3029,1872,73,36,456,565,565
3035,1996,77,21,550,648,648
3042,1092,42,40,202,284,284
3043,876,47,22,211,280,280
3044,4451,201,30,1346,1577,1577
3045,1985,112,15,521,648,648
3046,3300,136,44,862,1042,1042
3047,860,26,17,249,292,292
3049,3752,199,56,1199,1454,1454
3053,13,1,0,2,3,3
3060,3805,253,32,1078,1363,1363
3062,3775,186,57,1261,1504,1504
3064,2945,120,40,782,942,942
3065,5977,273,83,1835,2191,2191
3071,673,43,2,198,243,243
3078,705,45,11,200,256,256
3079,506,26,8,122,156,156
3080,1569,87,22,398,507,507
3084,1557,65,24,439,528,528
3086,2652,178,27,649,854,854
3092,835,36,21,262,319,319
3093,491,30,5,179,214,214
3096,2760,194,25,799,1018,1018
3098,2908,213,33,618,864,864
3102,2553,106,39,661,806,806
3105,707,52,4,220,276,276
3107,1937,107,35,376,518,518
3110,2815,106,57,672,835,835
3111,1413,59,16,337,412,412
3112,760,45,2,112,159,159
3119,3317,105,39,839,983,983
3121,832,37,11,241,289,289
3125,4417,307,44,1140,1491,1491
3126,882,67,5,254,326,326
3127,3081,144,41,916,1101,1101
3129,8190,468,77,2543,3088,3088
3131,1995,77,40,523,640,640
3135,7016,390,87,2208,2685,2685
3137,600,44,1,154,199,199
3138,472,28,10,176,214,214
3139,2532,233,17,733,983,983
3140,3119,103,38,883,1024,1024
3147,5775,441,39,1805,2285,2285
3155,3176,197,24,767,988,988
3157,1103,69,12,361,442,442
3158,2708,196,27,850,1073,1073
3166,0,0,0,0,0,0
3168,452,27,0,150,177,177
3169,772,84,1,210,295,295
3172,1887,157,11,410,578,578
3174,1793,96,19,494,609,609
3175,1457,62,16,384,462,462
4001,3020,122,48,731,901,901
4002,726,82,9,193,284,284
4012,2853,175,53,432,660,660
4015,1674,81,4,230,315,315
4024,566,27,3,86,116,116
4025,6536,455,38,1511,2004,2004
4026,3091,130,39,895,1064,1064
4032,1338,89,13,354,456,456
4037,3017,159,34,511,704,704
4039,1030,71,19,280,370,370
4040,3111,191,35,530,756,756
4048,2168,125,17,372,514,514
4066,5007,313,43,1399,1755,1755
4067,3521,257,40,1055,1352,1352
4069,6043,424,31,1875,2330,2330
4072,115,4,2,11,17,17
4073,1355,59,13,252,324,324
4074,4643,287,53,1278,1618,1618
4076,3155,191,38,961,1190,1190
4082,7779,420,64,2033,2517,2517
4083,5849,380,54,1714,2148,2148
4095,5727,302,22,1777,2101,2101
4099,3808,221,38,905,1164,1164
4100,3050,203,40,710,953,953
4101,4054,288,41,952,1281,1281
4106,7774,601,44,2351,2996,2996
4113,8249,672,58,2317,3047,3047
4117,2111,156,17,639,812,812
4124,3727,279,33,927,1239,1239
4141,5010,203,99,1533,1835,1835
4150,7895,517,74,2358,2949,2949
4154,5355,338,42,1538,1918,1918
4162,821,30,3,118,151,151
4163,1432,118,23,430,571,571
4164,1462,147,9,371,527,527
4167,3,0,0,0,0,0
4170,694,78,4,221,303,303
4173,1261,84,11,281,376,376
Total:,558362,30454,5919,156445,192818,192818
