slider-titles	rep	col	col-auto	rep 2	col 2	col-auto 2
CRIMINAL DISTRICT ATTORNEY MEDINA COUNTY	R	MARK HABY	19,752			
CRIMINAL DISTRICT ATTORNEY WALLER COUNTY - UNEXPIRED TERM	R	SEAN WHITTMORE	20,867			
2ND MULTICOUNTY COURT AT LAW	R	HARVEY HARDWICK	11,392			
PRESIDENT/VICE-PRESIDENT	R	DONALD J. TRUMP/JD VANCE	6,369,519	D	KAMALA D. HARRIS/TIM WALZ	4,794,960
U. S. SENATOR	R	TED CRUZ	5,967,812	D	COLIN ALLRED	4,990,946
U. S. REPRESENTATIVE DISTRICT 1	R	NATHANIEL MORAN	257,792			
U. S. REPRESENTATIVE DISTRICT 2	R	DAN CRENSHAW	213,814	D	PETER FILLER	111,365
U. S. REPRESENTATIVE DISTRICT 3	R	KEITH SELF	237,030	D	SANDEEP SRIVASTAVA	141,906
U. S. REPRESENTATIVE DISTRICT 4	R	PAT FALLON	240,996	D	SIMON CARDELL	110,925
U. S. REPRESENTATIVE DISTRICT 5	R	LANCE GOODEN	191,103	D	"RUTH ""TRUTH"" TORRES"	106,413
U. S. REPRESENTATIVE DISTRICT 6	R	JAKE ELLZEY	187,623	D	JOHN LOVE III	97,771
U. S. REPRESENTATIVE DISTRICT 7	D	LIZZIE FLETCHER	147,689	R	CAROLINE KANE	93,976
U. S. REPRESENTATIVE DISTRICT 8	R	MORGAN LUTTRELL	232,848	D	LAURA JONES	108,078
U. S. REPRESENTATIVE DISTRICT 9	D	AL GREEN	182,480			
U. S. REPRESENTATIVE DISTRICT 10	R	MICHAEL T. MCCAUL	220,908	D	THERESA BOISSEAU	117,937
U. S. REPRESENTATIVE DISTRICT 11	R	AUGUST PFLUGER	211,620			
U. S. REPRESENTATIVE DISTRICT 12	R	CRAIG GOLDMAN	215,112	D	TREY J. HUNT	123,666
U. S. REPRESENTATIVE DISTRICT 13	R	RONNY JACKSON	240,037			
U. S. REPRESENTATIVE DISTRICT 14	R	RANDY WEBER	209,939	D	RHONDA HART	95,487
U. S. REPRESENTATIVE DISTRICT 15	R	MONICA DE LA CRUZ	127,644	D	MICHELLE VALLEJO	95,752
U. S. REPRESENTATIVE DISTRICT 16	D	VERONICA ESCOBAR	131,144	R	IRENE ARMENDARIZ JACKSON	89,146
U. S. REPRESENTATIVE DISTRICT 17	R	PETE SESSIONS	192,834	D	MARK LORENZEN	97,711
U. S. REPRESENTATIVE DISTRICT 18	D	SYLVESTER TURNER	150,045	R	LANA CENTONZE	66,388
U. S. REPRESENTATIVE DISTRICT 19	R	JODEY C. ARRINGTON	214,600	I	NATHAN LEWIS	27,386
